[rank=1, song=In My Feelings, lastweek=0, imagesrc=, artist=Drake]
[rank=2, song=Girls Like You, lastweek=2, imagesrc=, artist=Maroon 5 Featuring Cardi B]
[rank=3, song=I Like It, lastweek=3, imagesrc=, artist=Cardi B, Bad Bunny & J Balvin]
[rank=4, song=Better Now, lastweek=5, imagesrc=, artist=Post Malone]
[rank=5, song=Lucid Dreams, lastweek=7, imagesrc=, artist=Juice WRLD]
[rank=6, song=I Love It, lastweek=101, imagesrc=, artist=Kanye West & Lil Pump]
[rank=7, song=FEFE, lastweek=4, imagesrc=, artist=6ix9ine Featuring Nicki Minaj & Murda Beatz]
[rank=8, song=Sicko Mode, lastweek=9, imagesrc=, artist=Travis Scott]
[rank=9, song=Taste, lastweek=10, imagesrc=, artist=Tyga Featuring Offset]
[rank=10, song=Love Lies, lastweek=11, imagesrc=, artist=Khalid & Normani]
[rank=11, song=Youngblood, lastweek=13, imagesrc=, artist=5 Seconds Of Summer]
[rank=12, song=No Brainer, lastweek=15, imagesrc=, artist=DJ Khaled Featuring Justin Bieber, Chance The Rapper & Quavo]
[rank=13, song=Rap Devil, lastweek=101, imagesrc=, artist=Machine Gun Kelly]
[rank=14, song=Boo'd Up, lastweek=14, imagesrc=, artist=Ella Mai]
[rank=15, song=Natural, lastweek=20, imagesrc=, artist=Imagine Dragons]
[rank=16, song=God Is A Woman, lastweek=17, imagesrc=, artist=Ariana Grande]
[rank=17, song=Nonstop, lastweek=18, imagesrc=, artist=Drake]
[rank=18, song=Lucky You, lastweek=6, imagesrc=, artist=Eminem Featuring Joyner Lucas]
[rank=19, song=Back To You, lastweek=22, imagesrc=, artist=Selena Gomez]
[rank=20, song=Yes Indeed, lastweek=21, imagesrc=, artist=Lil Baby & Drake]
[rank=21, song=No Tears Left To Cry, lastweek=19, imagesrc=, artist=Ariana Grande]
[rank=22, song=Perfect, lastweek=25, imagesrc=, artist=Ed Sheeran]
[rank=23, song=Trip, lastweek=32, imagesrc=, artist=Ella Mai]
[rank=24, song=Big Bank, lastweek=27, imagesrc=, artist=YG Featuring 2 Chainz, Big Sean & Nicki Minaj]
[rank=25, song=Delicate, lastweek=29, imagesrc=, artist=Taylor Swift]
[rank=26, song=Psycho, lastweek=28, imagesrc=, artist=Post Malone Featuring Ty Dolla $ign]
[rank=27, song=Meant To Be, lastweek=26, imagesrc=, artist=Bebe Rexha & Florida Georgia Line]
[rank=28, song=Eastside, lastweek=34, imagesrc=, artist=Benny Blanco, Halsey & Khalid]
[rank=29, song=Sad!, lastweek=36, imagesrc=, artist=XXXTENTACION]
[rank=30, song=Nice For What, lastweek=31, imagesrc=, artist=Drake]
[rank=31, song=The Middle, lastweek=35, imagesrc=, artist=Zedd, Maren Morris & Grey]
[rank=32, song=I Like Me Better, lastweek=33, imagesrc=, artist=Lauv]
[rank=33, song=Self Care, lastweek=101, imagesrc=, artist=Mac Miller]
[rank=34, song=Fall, lastweek=12, imagesrc=, artist=Eminem]
[rank=35, song=Happier, lastweek=46, imagesrc=, artist=Marshmello & Bastille]
[rank=36, song=God's Plan, lastweek=37, imagesrc=, artist=Drake]
[rank=37, song=Tequila, lastweek=38, imagesrc=, artist=Dan + Shay]
[rank=38, song=Simple, lastweek=40, imagesrc=, artist=Florida Georgia Line]
[rank=39, song=The Ringer, lastweek=8, imagesrc=, artist=Eminem]
[rank=40, song=Sunrise, Sunburn, Sunset, lastweek=41, imagesrc=, artist=Luke Bryan]
[rank=41, song=Broken, lastweek=48, imagesrc=, artist=lovelytheband]
[rank=42, song=Beautiful, lastweek=47, imagesrc=, artist=Bazzi Featuring Camila Cabello]
[rank=43, song=I'm A Mess, lastweek=44, imagesrc=, artist=Bebe Rexha]
[rank=44, song=You Say, lastweek=72, imagesrc=, artist=Lauren Daigle]
[rank=45, song=Barbie Dreams, lastweek=63, imagesrc=, artist=Nicki Minaj]
[rank=46, song=Mine, lastweek=43, imagesrc=, artist=Bazzi]
[rank=47, song=Drew Barrymore, lastweek=50, imagesrc=, artist=Bryce Vine]
[rank=48, song=Hooked, lastweek=60, imagesrc=, artist=Dylan Scott]
[rank=49, song=Hotel Key, lastweek=53, imagesrc=, artist=Old Dominion]
[rank=50, song=Te Bote, lastweek=52, imagesrc=, artist=Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny]
[rank=51, song=Africa, lastweek=58, imagesrc=, artist=Weezer]
[rank=52, song=Jackie Chan, lastweek=57, imagesrc=, artist=Tiesto & Dzeko Featuring Preme & Post Malone]
[rank=53, song=BEBE, lastweek=30, imagesrc=, artist=6ix9ine Featuring Anuel AA]
[rank=54, song=Mo Bamba, lastweek=73, imagesrc=, artist=Sheck Wes]
[rank=55, song=Drowns The Whiskey, lastweek=45, imagesrc=, artist=Jason Aldean Featuring Miranda Lambert]
[rank=56, song=Ring, lastweek=62, imagesrc=, artist=Cardi B Featuring Kehlani]
[rank=57, song=She Got The Best Of Me, lastweek=66, imagesrc=, artist=Luke Combs]
[rank=58, song=Life Changes, lastweek=51, imagesrc=, artist=Thomas Rhett]
[rank=59, song=Blue Tacoma, lastweek=68, imagesrc=, artist=Russell Dickerson]
[rank=60, song=Breathin, lastweek=56, imagesrc=, artist=Ariana Grande]
[rank=61, song=Medicine, lastweek=69, imagesrc=, artist=Queen Naija]
[rank=62, song=High Hopes, lastweek=74, imagesrc=, artist=Panic! At The Disco]
[rank=63, song=W O R K I N M E, lastweek=64, imagesrc=, artist=Quavo]
[rank=64, song=Not Alike, lastweek=24, imagesrc=, artist=Eminem Featuring Royce Da 5'9]
[rank=65, song=Mercy, lastweek=55, imagesrc=, artist=Brett Young]
[rank=66, song=Smile (Living My Best Life), lastweek=80, imagesrc=, artist=Lil' Duval Featuring Snoop Dogg & Ball Greezy]
[rank=67, song=Lose It, lastweek=82, imagesrc=, artist=Kane Brown]
[rank=68, song=Break Up In The End, lastweek=70, imagesrc=, artist=Cole Swindell]
[rank=69, song=The Way I Am, lastweek=88, imagesrc=, artist=Charlie Puth]
[rank=70, song=Hurt Feelings, lastweek=101, imagesrc=, artist=Mac Miller]
[rank=71, song=Stargazing, lastweek=61, imagesrc=, artist=Travis Scott]
[rank=72, song=Promises, lastweek=86, imagesrc=, artist=Calvin Harris & Sam Smith]
[rank=73, song=Apes**t, lastweek=59, imagesrc=, artist=The Carters]
[rank=74, song=All Girls Are The Same, lastweek=75, imagesrc=, artist=Juice WRLD]
[rank=75, song=Remind Me To Forget, lastweek=71, imagesrc=, artist=Kygo Featuring Miguel]
[rank=76, song=Side Effects, lastweek=77, imagesrc=, artist=The Chainsmokers Featuring Emily Warren]
[rank=77, song=Kamikaze, lastweek=16, imagesrc=, artist=Eminem]
[rank=78, song=Thunderclouds, lastweek=94, imagesrc=, artist=Labrinth, Sia & Diplo Present... LSD]
[rank=79, song=Drunk Me, lastweek=83, imagesrc=, artist=Mitchell Tenpenny]
[rank=80, song=Solo, lastweek=76, imagesrc=, artist=Clean Bandit Featuring Demi Lovato]
[rank=81, song=That's On Me, lastweek=78, imagesrc=, artist=Yella Beezy]
[rank=82, song=Lie, lastweek=85, imagesrc=, artist=NF]
[rank=83, song=Best Part, lastweek=89, imagesrc=, artist=Daniel Caesar Featuring H.E.R.]
[rank=84, song=Greatest, lastweek=23, imagesrc=, artist=Eminem]
[rank=85, song=Lean Wit Me, lastweek=84, imagesrc=, artist=Juice WRLD]
[rank=86, song=Yosemite, lastweek=79, imagesrc=, artist=Travis Scott]
[rank=87, song=Drunk Girl, lastweek=92, imagesrc=, artist=Chris Janson]
[rank=88, song=Dangerous, lastweek=91, imagesrc=, artist=Meek Mill Featuring Jeremih & PnB Rock]
[rank=89, song=Hangin' On, lastweek=97, imagesrc=, artist=Chris Young]
[rank=90, song=Desperate Man, lastweek=93, imagesrc=, artist=Eric Church]
[rank=91, song=Come Back To Earth, lastweek=101, imagesrc=, artist=Mac Miller]
[rank=92, song=IDOL, lastweek=81, imagesrc=, artist=BTS Featuring Nicki Minaj]
[rank=93, song=Feels Like Summer, lastweek=54, imagesrc=, artist=Childish Gambino]
[rank=94, song=Vaina Loca, lastweek=101, imagesrc=, artist=Ozuna x Manuel Turizo]
[rank=95, song=Speechless, lastweek=101, imagesrc=, artist=Dan + Shay]
[rank=96, song=Electricity, lastweek=101, imagesrc=, artist=Silk City x Dua Lipa]
[rank=97, song=I'm Upset, lastweek=95, imagesrc=, artist=Drake]
[rank=98, song=Hopeless Romantic, lastweek=99, imagesrc=, artist=Wiz Khalifa Featuring Swae Lee]
[rank=99, song=OTW, lastweek=101, imagesrc=, artist=Khalid, Ty Dolla $ign & 6LACK]
[rank=100, song=Narcos, lastweek=98, imagesrc=, artist=Migos]
